Date,User,Number of likes,Tweeted from,Tweets
2022-10-15 23:57:38+00:00,SurfaniSurfani3,0,Twitter for Android,"seiring dg Resesi proyeksi gelap ekonomi global adlg kunci logis dri penerapan sistem ekonomi kapitalisme yg mulai menguasai dunia pd abad ke-18 Apalagi setelah Amerika menaklukkan Rival ideologix yaitu monarki,selengkapnya di serba-serbi MMC https://t.co/Ioec3Eczmr
#IslamKaffah https://t.co/LwNSBD3klA"
2022-10-15 23:55:55+00:00,UmiHafizha1,1,Twitter for Android,"IMF memproyeksi ekonomi global akan gelap pd tahun 2023. Hal ini diakibatkan oleh banyak hal, mulai dr resesi, COVID-19, imbas inv4si Rusi4 ke Ukr4ina, dll. Mampukah Sistem Ekonomi Kapitalisme mengatasinya? Simak videonya di Serba-serbi MMC
https://t.co/rFNPpn7Cwx

#IslamKaffah"
2022-10-15 23:55:14+00:00,latifajulia77,1,Twitter for Android,"ekonomi global Akan Gelap pd 2023 krn merugi 4T UD pd'26 akibat Resesi penyebabx setelah covid &amp; dihadapkan dg ancaman krisis imbas invasi Rusia ke Ukraina &amp; perubahan iklim,inilh akibt dri sistem ekonomi kapitalisme. Serba-serbi MMC https://t.co/ZLykApRMul
#IslamKaffah https://t.co/4FKuVXUBUt"
2022-10-15 23:55:08+00:00,PDemokrat,142,Twitter for Android,"Presiden ke-6 RI, Susilo Bambang Yudhoyono merasa resah dgn resesi ekonomi dunia yg hambat upaya atasi global warming.

Dan dunia justru sibuk dgn masalah geopolitik &amp; ancaman resesi yg kian runcing. Lantas, seberapa besar perhatian para pemimpin dunia utk selamatkan bumi kita!?! https://t.co/7fvckgB6rG"
2022-10-15 23:53:49+00:00,BELIEVEIN93,0,Twitter for Android,@jek___ Sebelum 2015 udha ngerasain resesi wkwkwk.. Bismillah siap menjalani dan menghadapinya lagi 🤟 https://t.co/u0zwoEIlfm
2022-10-15 23:53:25+00:00,icalgusdinar,0,Twitter for Android,Saya yang dari lahir RESESI aja biasa aja.
2022-10-15 23:53:15+00:00,rzkyamaliyeah,0,Twitter for Android,"She said, tahun depan mau resesi loh, yakin mau resign?
Arghhhh"
2022-10-15 23:52:30+00:00,latifajulia,5,Twitter for Android,"Ekonomi dunia diprediksi gelap pd 2023, mampukah kapitalisme mengatasi ekonomi kapitalis yg akan resesi thn depan?, simak selengkaonya di serba-serbi MMC https://t.co/vAdMqPfIgM
#IslamKaffah https://t.co/jqTnaEQMn4"
2022-10-15 23:52:03+00:00,Salsabi03621592,0,Twitter for Android,"Dunia sedang mengalami resesi yang diakibatkan penerapan sistem ekonomi kapitalisme. 
Simak Serba-serbi MMC berikut
https://t.co/LA5WWJhfaH

#IslamKaffah"
2022-10-15 23:48:14+00:00,executifmudaa,3,Twitter for Android,@votsssss_ Si anjing mending suruh kerja trus nabung tahun depan resesi soalnya🤣 war sama netijen gak bakal bikin tabungan gendut
