Date,Tweets
2022-10-21 23:51:58+00:00,"sesinting waktu naiknya begitu pula waktu jatuh crashnya sehingga menciptakan situasi undervalue yang nantinya dibeli duluan oleh fundamentalis dan of course market maker ketika resesi dan belum pulih 
inilah kenapa market bottom atau naik duluan sebelum resesi berakhir"
2022-10-21 23:51:04+00:00,"3 Tahun Kepemimpinan Jokowi, Ekonomi RI Tetap Tangguh di Tengah Ancaman Resesi Dunia https://t.co/HySvPA6x5Z"
2022-10-21 23:49:59+00:00,"twitter isinya racun semua, gatau orang lagi resesi apa ya"
2022-10-21 23:44:46+00:00,"Melihat abis pandemi emang bakal lebih baik ga si logikanya beb @jhloverclub 
Tapi herannya ni yang punya ternak uang sering banget bilang 2023 resesi"
2022-10-21 23:40:12+00:00,"@detikcom Baru mau beranjak dari covid yg kemarin,masih harus bermasker di tempat ramai,belum kembali sprti zaman sebelum covid.Lagi nyari investor yg mau inves di bisnis saya.Rupiah tak berdaya brhadapan dgn USD,di tempat lain sdg bicara resesi.Tiba2 kt kembali d zmn covid.Tidur pak kita"
2022-10-21 23:36:43+00:00,"Bukan karena resesi tidak akan terjadi tapi saham dan market itu future dan biasanya jatuh dan naik duluan dari ekonomi real 
Jadi saham adalah leading {duluan} indicator resesi https://t.co/5NxTzQG7mJ"
2022-10-21 23:36:06+00:00,"@mardigu024 Mau resesi kek,,mo inflasi kek,apapun itu,,
Gw masih punya ALLAH SWT yang Maha Kaya!!
Titik"
2022-10-21 23:35:35+00:00,Resesi semenakutkan itu gak sih buat yang gak punya tabungan banyak?
2022-10-21 23:34:50+00:00,"@BBCIndonesia Bener mom...
Etilen glikol pun dlm dosis rendah tdk serta merta menyebabkan gagal ginjal.

Apa dampak dari kejadian ini ?
Ketakutan massal
Kerugian pada produsen
Badan kesehatan tercurah perhatiannya pd hal ini.

Siapa yg diuntungkan ?
Blm tau, tp tahun depan ada resesi katanya?"
2022-10-21 23:31:20+00:00,"@SrijantoBambang @Mdy_Asmara1701 Ya karena namanya mengukur ekonomi nasional ya memang mau ga mau harus lihat ekonomi global, di berbagai negara aja mulai ada indikasi resesi, US juga yang mata uangnya kita bandingkan, China, Europe, dll...
Kalau resesi, perputaran uang dan barang menurun, ekonomi global turun."
2022-10-21 23:24:47+00:00,"@Stevaniehuangg Hobi bgt ya goreng terus radikul Mulu , bukannya mikir &amp; bikin solusi menghadapi resesi ditahun depan. 1 bulan terakhir ini sdh banyak karyawan pabrik dirumahkan."
2022-10-21 23:19:32+00:00,"Udah dulu yuk, Partai, Capres, Tokoh Bangsa, buzzer, netizen yang bersebrangan politik, stop bikin bising soal politik dan pilpres. Saat ini banyak masalah yang lebih urgent yang membutuhkan persatuan kita, Banjir, isu resesi ekonomi, kasus Gagal ginjal akut. Rupiah yang anjlok."
2022-10-21 23:14:39+00:00,"Rakyat Indonesia hrs paham, bhw KTT G-20 itu Konferensi Negara2 (mayoritas) Mantan Penjajah yg mengeruk kekayaan alam Negara2 Dunia Ketiga. Mereka juga Pencetus Resesi Global dgn mengajak Ukraina msk NATO yg dibalas Rusia dgn aneksasi Ukraina &amp; embargo Energi&amp;Pangan.Mereka Iblis."
2022-10-21 23:07:34+00:00,Kabar Resesi bikin ketar ketir mau resign dari kerjaan sekarang 😬
2022-10-21 23:06:47+00:00,@mardigu024 Bisnis resesi
2022-10-21 23:03:40+00:00,"@asumsico Sek onok ae, salah ngunu taun ngarep resesi :("
2022-10-21 23:00:47+00:00,Kementerian Keuangan menyatakan pemerintah telah menyiapkan Anggaran Pendapatan dan Belanja Negara (APBN) 2023 sebagai upaya untuk membangkitkan optimisme sekaligus menjaga kewaspadaan terhadap ancaman dari resesi global. #NKRILebihBangkitKuat https://t.co/mMipPde3K5
2022-10-21 23:00:01+00:00,"pemerintah telah menyiapkan Anggaran Pendapatan dan Belanja Negara (APBN) 2023 sebagai upaya untuk membangkitkan optimisme,sekaligus menjaga kewaspadaan terhadap ancaman dari resesi global #NKRILebihBangkitKuat #UbahKUHPJadul https://t.co/FeDbXvQ6dI"
2022-10-21 22:52:28+00:00,@Arka_an @celekgodok @widiahapsari Resesi pe
2022-10-21 22:49:49+00:00,"Gue disuruh pecaya resesi?
Ya musyrik lah...
Selama masih ada hamparan sawah &amp; laut yg luas, resesi gak akan mampu mencegah nasi &amp; ikan masuk ke dalam mulut &amp; perut.
Resesi cuma buat wong wong sugih.
Wong Cilik tetep diapusi &amp; ngene2 thok dari dulu."
2022-10-21 22:48:28+00:00,@AnthonyBudiawan Kok jadi Marketing IKN seh beliau..... Bukannya sibuk urusi resesi di depan mata...
2022-10-21 22:44:13+00:00,Diambang Resesi! Fahri Hamzah: Kandidat Capres Pikirkanlah Nasib Rakyat https://t.co/dD5wOCn8xC @partaigeloraid @Fahrihamzah
2022-10-21 22:44:07+00:00,"@txtdrjkt sido pemilu taa jare resesi, krisis pangan"
2022-10-21 22:43:49+00:00,"Menghentikan proyek IKN bukan aib ini demi kemaslahatan dan kebaikan Republik. Masih banyak skala prioritas yang perlu ditangani. Resesi sudah menghampiri bukan lagi di depan mata. Founding Father sudah buat UUD 45 yang menjadi acuan bernegara, tidak usah akrobat."
2022-10-21 22:37:10+00:00,Resesi
2022-10-21 22:35:03+00:00,"Niat sedekah:
❎ Dapat mobil
✅ Negara gak resesi"
2022-10-21 22:29:06+00:00,"Jgn sok an paik resesi 2023.
Klo gajian cuma transit doang 

#resesi #hebat"
2022-10-21 22:26:31+00:00,@detikcom gmn ga resesi klo kayak gini trs...
2022-10-21 22:22:00+00:00,"@AnthonyBudiawan Ngotot amat pindah ibukota, pdhl beliau sendiri yg ngomong 2023 tahun resesi"
2022-10-21 22:13:20+00:00,"Daripada takut resesi 2023, mending investasi emas dari sekarang!

&lt; A Thread &gt; https://t.co/q27vXN01EJ"
2022-10-21 22:12:02+00:00,Heboh Resesi Atau Hanya Gagal Paham Saja? https://t.co/azth7iIEp4 via @YouTube
